ticker,added
ABT,31.03.1964
ARNC,31.03.1964
HON,31.03.1964
SHW,30.06.1964
CMI,31.03.1965
EMR,31.03.1965
SLB,31.03.1965
CSX,30.09.1967
CLX,31.03.1969
GIS,31.03.1969
NEM,30.06.1969
MMM,
AES,
AFL,
AGN,
ALL,
GOOG,03.04.2014
MO,
AEP,
APC,
ADI,
ANTM,
AON,
APA,
AIV,
AMAT,
AZO,
BHGE,
BK,
BBT,
BIIB,
BA,
BMY,
CPB,
COF,
CAH,
CCL,
CAT,
CTL,
SCHW,
CHK,
CVX,
CINF,
CTXS,
CME,
CMS,
COH,
KO,
CL,
CMA,
COP,
ED,
GLW,
CVS,
DHI,
DHR,
DRI,
DE,
D,
DOW,
DTE,
ETN,
EBAY,
EIX,
ETR,
ES,
EXC,
XOM,
FITB,
FE,
F,
BEN,
FCX,
GD,
GE,
GT,
HAL,
HOG,
HIG,
HSY,
HUM,
HBAN,
IBM,
IP,
JNPR,
K,
KMB,
KLAC,
KSS,
KR,
LLL,
LEG,
L,
MTB,
M,
MAR,
MKC,
MCK,
MRK,
MET,
MCO,
MS,
MSI,
NI,
NSC,
NTRS,
OMC,
PAYX,
PEP,
PFE,
PCG,
PNW,
PPG,
PPL,
PG,
PEG,
QCOM,
RTN,
ROK,
SEE,
SRE,
SO,
SPGI,
SBUX,
STT,
TROW,
TXN,
TMO,
TWX,
TSN,
USB,
UNP,
UTX,
VLO,
VIAB,
VNO,
WM,
WAT,
WU,
WRK,
WY,
WHR,
WYN,
XEL,
XRX,
XL,
ZION,
MCD,30.06.1970
LLY,31.12.1970
BAX,30.09.1972
BDX,30.09.1972
JNJ,30.06.1973
GPC,31.12.1973
HPQ,31.12.1974
WMB,31.03.1975
BCR,30.06.1975
JPM,30.06.1975
IFF,31.03.1976
AET,30.06.1976
AXP,30.06.1976
BAC,30.06.1976
CI,30.06.1976
DUK,30.06.1976
LNC,30.06.1976
TAP,30.06.1976
NEE,30.06.1976
DIS,30.06.1976
WFC,30.06.1976
INTC,31.12.1976
TGT,31.12.1976
TXT,31.12.1978
VFC,30.06.1979
WBA,31.12.1979
AIG,31.03.1980
FLR,31.03.1980
FDX,31.12.1980
PCAR,31.12.1980
ADP,31.03.1981
GWW,30.06.1981
MAS,30.06.1981
ADM,29.07.1981
MAT,31.03.1982
WMT,31.08.1982
SNA,30.09.1982
SWK,30.09.1982
BF.B,31.10.1982
AAPL,30.11.1982
OXY,31.12.1982
CAG,31.08.1983
LB,30.09.1983
T,30.11.1983
VZ,30.11.1983
LOW,29.02.1984
PHM,30.04.1984
HES,31.05.1984
LMT,31.07.1984
HAS,30.09.1984
BLL,31.10.1984
APD,30.04.1985
NUE,30.04.1985
PKI,31.05.1985
NOC,30.06.1985
CNP,31.07.1985
TJX,30.09.1985
DOV,31.10.1985
PH,30.11.1985
ITW,28.02.1986
GPS,31.08.1986
JWN,31.08.1986
MDT,31.10.1986
HRB,30.11.1986
SYY,31.12.1986
CA,31.07.1987
MMC,31.08.1987
AVY,31.12.1987
HD,31.03.1988
PNC,30.04.1988
C,31.05.1988
STI,31.05.1988
NKE,30.11.1988
ECL,31.01.1989
NWL,30.04.1989
TMK,30.04.1989
ORCL,31.08.1989
ADSK,01.12.1989
MRO,01.05.1991
AEE,19.09.1991
AMGN,02.01.1992
PX,01.07.1992
IPG,01.10.1992
COST,01.10.1993
CSCO,01.12.1993
EMN,01.01.1994
KEY,01.03.1994
UNM,01.03.1994
MSFT,01.06.1994
LUV,01.07.1994
UNH,01.07.1994
CBS,01.09.1994
MU,27.09.1994
BSX,24.02.1995
ADBE,05.05.1997
EFX,19.06.1997
PGR,04.08.1997
YUM,06.10.1997
RF,28.08.1998
SPLS,07.10.1998
NTAP,25.06.1999
BBY,29.06.1999
VMC,30.06.1999
XLNX,08.11.1999
A,05.06.2000
TIF,21.06.2000
DVN,30.08.2000
EOG,02.11.2000
INTU,05.12.2000
RHI,05.12.2000
SYK,12.12.2000
CTAS,01.03.2001
FISV,02.04.2001
COL,02.07.2001
ZBH,07.08.2001
ABC,30.08.2001
NVDA,30.11.2001
EQR,03.12.2001
SPG,26.06.2002
EA,22.07.2002
GS,22.07.2002
PFG,22.07.2002
PRU,22.07.2002
UPS,22.07.2002
MON,07.08.2002
TRV,21.08.2002
DGX,12.12.2002
SYMC,25.03.2003
PLD,17.07.2003
ESRX,25.09.2003
ETFC,31.03.2004
MYL,23.04.2004
GILD,01.07.2004
LH,01.11.2004
NOV,14.03.2005
STZ,05.07.2005
PSA,19.08.2005
AMP,03.10.2005
LEN,04.10.2005
PDCO,11.10.2005
AMZN,18.11.2005
EL,05.01.2006
VRSN,01.02.2006
BXP,03.04.2006
KIM,04.04.2006
CELG,06.11.2006
CBG,10.11.2006
FIS,10.11.2006
CTSH,17.11.2006
AVB,10.01.2007
RL,02.02.2007
VAR,12.02.2007
CHRW,02.03.2007
HST,20.03.2007
AIZ,10.04.2007
DFS,02.07.2007
