ticker,from,to
TEG,0001-01-01,2015-06-30
MRO,1991-05-01,9999-12-30
ADBE,1997-05-05,9999-12-30
STT,0001-01-01,9999-12-30
HPQ,1974-12-31,9999-12-30
TMO,0001-01-01,9999-12-30
TDG,2016-06-03,9999-12-30
UNP,0001-01-01,9999-12-30
NVDA,2001-11-30,9999-12-30
CELG,2006-11-06,9999-12-30
SEE,0001-01-01,9999-12-30
LIFE,0001-01-01,2014-01-23
MEE,0001-01-01,2011-05-31
TIF,2000-06-21,9999-12-30
NVLS,0001-01-01,2012-06-04
COP,0001-01-01,9999-12-30
ATI,0001-01-01,2015-07-01
SLM,0001-01-01,2014-04-30
BIG,0001-01-01,2013-02-14
CNC,2016-03-30,9999-12-30
LXK,0001-01-01,2012-09-30
FOXA,2013-06-28,9999-12-30
SBL,2000-12-05,2007-01-09
SYF,2015-11-18,9999-12-30
ALGN,2017-06-19,9999-12-30
SLB,1965-03-31,9999-12-30
ESS,2014-04-02,9999-12-30
COL,2001-07-02,9999-12-30
PWR,2009-07-01,9999-12-30
FDO,0001-01-01,2015-07-07
IVZ,2008-08-21,9999-12-30
ACN,2011-07-05,9999-12-30
ADS,2013-12-23,9999-12-30
EL,2006-01-05,9999-12-30
MDT,1986-10-31,9999-12-30
AKAM,2007-07-12,9999-12-30
RX,0001-01-01,2010-02-25
S,0001-01-01,2013-07-07
ANSS,2017-06-19,9999-12-30
NAVI,2014-05-01,9999-12-30
QRVO,2015-06-11,9999-12-30
XRX,0001-01-01,9999-12-30
THC,0001-01-01,2016-04-17
CLX,1969-03-31,9999-12-30
BMC,0001-01-01,2013-09-09
NEE,1976-06-30,9999-12-30
SHW,1964-06-30,9999-12-30
ROST,2009-12-21,9999-12-30
UAA,2016-03-25,9999-12-30
BAX,1972-09-30,9999-12-30
MFE,0001-01-01,2011-02-27
PLD,2003-07-17,9999-12-30
HIG,0001-01-01,9999-12-30
SBUX,0001-01-01,9999-12-30
YHOO,0001-01-01,2017-06-18
FRX,0001-01-01,2014-06-30
JWN,1986-08-31,9999-12-30
RHI,2000-12-05,9999-12-30
